"Country","Year","Estimated number of road traffic deaths","Estimated road traffic death rate (per 100 000 population)"
"Syrian Arab Republic"," 2010","4 669","22.9"
"Tajikistan"," 2010","1 244","18.1"
"Thailand"," 2010","26 312","38.1"
"The former Yugoslav republic of Macedonia"," 2010","162","7.9"
"Timor-Leste"," 2010","219","19.5"
"Togo"," 2010","1 037","17.2"
"Tonga"," 2010","6","5.8"
"Trinidad and Tobago"," 2010","224","16.7"
"Tunisia"," 2010","1 974","18.8"
"Turkey"," 2010","8 758","12.0"
"Uganda"," 2010","9 655","28.9"
"Ukraine"," 2010","6 121","13.5"
"United Arab Emirates"," 2010","956","12.7"
"United Kingdom of Great Britain and Northern Ireland"," 2010","2 278","3.7"
"United Republic of Tanzania"," 2010","10 162","22.7"
"United States of America"," 2010","35 490","11.4"
"Uruguay"," 2010","723","21.5"
"Uzbekistan"," 2010","3 107","11.3"
"Vanuatu"," 2010","39","16.3"
"Venezuela (Bolivarian Republic of)"," 2010","10 791","37.2"
"Viet Nam"," 2010","21 651","24.7"
"Yemen"," 2010","5 698","23.7"
"Zambia"," 2010","3 117","23.8"
"Zimbabwe"," 2010","1 832","14.6"
